"","analyte","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Ag",571,0.0012,1.15,0.017,0.0396,0.107,0.0172,3.01,"571: 0.0396 (0.107); 0.017 [0.0012 - 1.15]; 0.0172 (3.01)"
"2","Al",571,1.54,5210,35.6,101,380,43.1,2.6,"571: 101 (380); 35.6 [1.54 - 5210]; 43.1 (2.6)"
"3","As",571,0.108,120,1.02,2.16,6.08,1.1,2.65,"571: 2.16 (6.08); 1.02 [0.108 - 120]; 1.1 (2.65)"
"4","Ba",571,0.119,204,10.8,16.9,21.4,10.2,2.91,"571: 16.9 (21.4); 10.8 [0.119 - 204]; 10.2 (2.91)"
"5","Be",571,0.00063,1.69,0.0242,0.048,0.143,0.0216,3.09,"571: 0.048 (0.143); 0.0242 [0.00063 - 1.69]; 0.0216 (3.09)"
"6","Cd",571,0.00528,11.7,0.0681,0.314,1.09,0.0854,3.64,"571: 0.314 (1.09); 0.0681 [0.00528 - 11.7]; 0.0854 (3.64)"
"7","Co",571,0.0045,11.2,0.104,0.349,0.991,0.127,3.39,"571: 0.349 (0.991); 0.104 [0.0045 - 11.2]; 0.127 (3.39)"
"8","Cr",571,0.011,171,0.343,1.39,8.6,0.38,3.22,"571: 1.39 (8.6); 0.343 [0.011 - 171]; 0.38 (3.22)"
"9","Cu",571,0.224,3160,20.2,66.5,212,22.3,3.98,"571: 66.5 (212); 20.2 [0.224 - 3160]; 22.3 (3.98)"
"10","Fe",571,1.7,1640,36.8,77.5,149,40.3,2.81,"571: 77.5 (149); 36.8 [1.7 - 1640]; 40.3 (2.81)"
"11","Mn",571,0.0668,612,4.65,24.9,60.5,5.89,5.33,"571: 24.9 (60.5); 4.65 [0.0668 - 612]; 5.89 (5.33)"
"12","Mo",571,0.0078,37.9,1.54,2.41,3.28,1.25,3.53,"571: 2.41 (3.28); 1.54 [0.0078 - 37.9]; 1.25 (3.53)"
"13","Ni",571,0.0571,466,0.705,2.93,22,0.841,2.95,"571: 2.93 (22); 0.705 [0.0571 - 466]; 0.841 (2.95)"
"14","Pb",571,0.013,350,0.616,3.18,19,0.696,4.29,"571: 3.18 (19); 0.616 [0.013 - 350]; 0.696 (4.29)"
"15","Sb",571,0.106,13.4,0.582,0.851,1.15,0.606,2.07,"571: 0.851 (1.15); 0.582 [0.106 - 13.4]; 0.606 (2.07)"
"16","Se",571,0.16,12.6,1.6,1.94,1.72,1.38,2.38,"571: 1.94 (1.72); 1.6 [0.16 - 12.6]; 1.38 (2.38)"
"17","Sn",571,0.00092,80.7,0.0909,0.401,3.5,0.0952,3.5,"571: 0.401 (3.5); 0.0909 [0.00092 - 80.7]; 0.0952 (3.5)"
"18","V",571,0.145,29,1.66,2.57,2.89,1.74,2.36,"571: 2.57 (2.89); 1.66 [0.145 - 29]; 1.74 (2.36)"
"19","Zn",571,1.4,13300,89.4,401,1250,99.3,4.51,"571: 401 (1250); 89.4 [1.4 - 13300]; 99.3 (4.51)"
