"","analyte","community","season","n","min","max","median","mean","sd","gmean","gsd","sumcol"
"1","Al","Dewey-Humboldt","Winter",34,11,634,24.1,54.2,109,30.7,2.29,"34: 54.2 (109); 24.1 [11 - 634]; 30.7 (2.29)"
"2","Al","Dewey-Humboldt","Monsoon",19,16,432,33.8,79.3,101,48.5,2.55,"19: 79.3 (101); 33.8 [16 - 432]; 48.5 (2.55)"
"3","Al","Globe/Miami","Winter",79,14.4,4760,49.7,250,765,67.3,3.42,"79: 250 (765); 49.7 [14.4 - 4760]; 67.3 (3.42)"
"4","Al","Globe/Miami","Monsoon",44,13,5210,60.3,264,823,78.9,3.31,"44: 264 (823); 60.3 [13 - 5210]; 78.9 (3.31)"
"5","Al","Hayden/Winkelman","Winter",64,3.82,359,32.7,54.3,64.4,37.3,2.26,"64: 54.3 (64.4); 32.7 [3.82 - 359]; 37.3 (2.26)"
"6","Al","Hayden/Winkelman","Monsoon",24,16.6,746,46,127,178,68.7,2.85,"24: 127 (178); 46 [16.6 - 746]; 68.7 (2.85)"
"7","Al","Tucson","Winter",220,1.54,943,31.1,53.4,82,35.8,2.2,"220: 53.4 (82); 31.1 [1.54 - 943]; 35.8 (2.2)"
"8","Al","Tucson","Monsoon",87,10.3,405,32.5,52.7,64,37.2,2.1,"87: 52.7 (64); 32.5 [10.3 - 405]; 37.2 (2.1)"
"9","As","Dewey-Humboldt","Winter",34,0.154,3.49,0.972,0.949,0.762,0.72,2.15,"34: 0.949 (0.762); 0.972 [0.154 - 3.49]; 0.72 (2.15)"
"10","As","Dewey-Humboldt","Monsoon",19,0.498,14.1,1.37,3.08,3.98,1.9,2.49,"19: 3.08 (3.98); 1.37 [0.498 - 14.1]; 1.9 (2.49)"
"11","As","Globe/Miami","Winter",79,0.16,3.84,0.689,0.819,0.697,0.631,2.04,"79: 0.819 (0.697); 0.689 [0.16 - 3.84]; 0.631 (2.04)"
"12","As","Globe/Miami","Monsoon",44,0.459,7.42,1.24,1.61,1.19,1.36,1.74,"44: 1.61 (1.19); 1.24 [0.459 - 7.42]; 1.36 (1.74)"
"13","As","Hayden/Winkelman","Winter",64,0.139,22,2.4,3.4,3.7,2.22,2.6,"64: 3.4 (3.7); 2.4 [0.139 - 22]; 2.22 (2.6)"
"14","As","Hayden/Winkelman","Monsoon",24,1.17,120,7.37,15.9,24.7,7.81,3.3,"24: 15.9 (24.7); 7.37 [1.17 - 120]; 7.81 (3.3)"
"15","As","Tucson","Winter",220,0.108,9.8,0.774,1.16,1.31,0.816,2.2,"220: 1.16 (1.31); 0.774 [0.108 - 9.8]; 0.816 (2.2)"
"16","As","Tucson","Monsoon",87,0.34,13.7,1.15,1.79,2.16,1.3,2.02,"87: 1.79 (2.16); 1.15 [0.34 - 13.7]; 1.3 (2.02)"
"17","Ba","Dewey-Humboldt","Winter",34,0.314,30,3.06,4.6,5.75,3,2.47,"34: 4.6 (5.75); 3.06 [0.314 - 30]; 3 (2.47)"
"18","Ba","Dewey-Humboldt","Monsoon",19,2.02,76.2,12,16.1,16.8,11.3,2.35,"19: 16.1 (16.8); 12 [2.02 - 76.2]; 11.3 (2.35)"
"19","Ba","Globe/Miami","Winter",79,0.412,37.7,7.21,10.3,8.77,7.47,2.33,"79: 10.3 (8.77); 7.21 [0.412 - 37.7]; 7.47 (2.33)"
"20","Ba","Globe/Miami","Monsoon",44,0.953,138,18.8,26.1,23.5,19.6,2.23,"44: 26.1 (23.5); 18.8 [0.953 - 138]; 19.6 (2.23)"
"21","Ba","Hayden/Winkelman","Winter",64,0.226,126,13.6,21.2,26.3,11.5,3.49,"64: 21.2 (26.3); 13.6 [0.226 - 126]; 11.5 (3.49)"
"22","Ba","Hayden/Winkelman","Monsoon",24,4.77,204,36.5,57,55.6,38.6,2.48,"24: 57 (55.6); 36.5 [4.77 - 204]; 38.6 (2.48)"
"23","Ba","Tucson","Winter",220,0.119,74.3,9.05,12.2,10.7,8.55,2.64,"220: 12.2 (10.7); 9.05 [0.119 - 74.3]; 8.55 (2.64)"
"24","Ba","Tucson","Monsoon",87,0.556,86.1,16,21.1,18,15.6,2.31,"87: 21.1 (18); 16 [0.556 - 86.1]; 15.6 (2.31)"
"25","Be","Dewey-Humboldt","Winter",34,0.0016,0.064,0.0291,0.0296,0.0227,0.0187,3.09,"34: 0.0296 (0.0227); 0.0291 [0.0016 - 0.064]; 0.0187 (3.09)"
"26","Be","Dewey-Humboldt","Monsoon",19,0.00362,0.124,0.016,0.0333,0.0334,0.0207,2.81,"19: 0.0333 (0.0334); 0.016 [0.00362 - 0.124]; 0.0207 (2.81)"
"27","Be","Globe/Miami","Winter",79,0.0025,1.69,0.04,0.104,0.283,0.0361,3.29,"79: 0.104 (0.283); 0.04 [0.0025 - 1.69]; 0.0361 (3.29)"
"28","Be","Globe/Miami","Monsoon",44,0.0099,1.36,0.0447,0.111,0.24,0.0502,2.85,"44: 0.111 (0.24); 0.0447 [0.0099 - 1.36]; 0.0502 (2.85)"
"29","Be","Hayden/Winkelman","Winter",64,0.00063,1.4,0.04,0.0538,0.175,0.0201,3.65,"64: 0.0538 (0.175); 0.04 [0.00063 - 1.4]; 0.0201 (3.65)"
"30","Be","Hayden/Winkelman","Monsoon",24,0.0057,0.091,0.016,0.0246,0.0212,0.0182,2.17,"24: 0.0246 (0.0212); 0.016 [0.0057 - 0.091]; 0.0182 (2.17)"
"31","Be","Tucson","Winter",220,0.00063,0.511,0.0181,0.0309,0.0425,0.018,3.11,"220: 0.0309 (0.0425); 0.0181 [0.00063 - 0.511]; 0.018 (3.11)"
"32","Be","Tucson","Monsoon",87,0.0017,0.104,0.016,0.0206,0.0148,0.0168,1.93,"87: 0.0206 (0.0148); 0.016 [0.0017 - 0.104]; 0.0168 (1.93)"
"33","Cd","Dewey-Humboldt","Winter",34,0.0061,0.101,0.0197,0.0292,0.0235,0.0229,1.98,"34: 0.0292 (0.0235); 0.0197 [0.0061 - 0.101]; 0.0229 (1.98)"
"34","Cd","Dewey-Humboldt","Monsoon",19,0.011,1.38,0.0411,0.152,0.316,0.0532,3.86,"19: 0.152 (0.316); 0.0411 [0.011 - 1.38]; 0.0532 (3.86)"
"35","Cd","Globe/Miami","Winter",79,0.0071,11.7,0.0967,0.87,2.3,0.147,4.79,"79: 0.87 (2.3); 0.0967 [0.0071 - 11.7]; 0.147 (4.79)"
"36","Cd","Globe/Miami","Monsoon",44,0.025,10.1,0.192,0.807,1.83,0.254,4,"44: 0.807 (1.83); 0.192 [0.025 - 10.1]; 0.254 (4)"
"37","Cd","Hayden/Winkelman","Winter",64,0.00528,3.56,0.204,0.374,0.536,0.189,3.51,"64: 0.374 (0.536); 0.204 [0.00528 - 3.56]; 0.189 (3.51)"
"38","Cd","Hayden/Winkelman","Monsoon",24,0.0625,4.65,0.51,0.992,1.16,0.477,3.78,"24: 0.992 (1.16); 0.51 [0.0625 - 4.65]; 0.477 (3.78)"
"39","Cd","Tucson","Winter",220,0.00652,0.66,0.049,0.0767,0.0802,0.0554,2.17,"220: 0.0767 (0.0802); 0.049 [0.00652 - 0.66]; 0.0554 (2.17)"
"40","Cd","Tucson","Monsoon",87,0.011,0.427,0.0626,0.0781,0.0645,0.0581,2.23,"87: 0.0781 (0.0645); 0.0626 [0.011 - 0.427]; 0.0581 (2.23)"
"41","Cr","Dewey-Humboldt","Winter",34,0.0732,86,0.316,3.25,14.7,0.412,4.31,"34: 3.25 (14.7); 0.316 [0.0732 - 86]; 0.412 (4.31)"
"42","Cr","Dewey-Humboldt","Monsoon",19,0.3,1.93,0.484,0.726,0.464,0.618,1.75,"19: 0.726 (0.464); 0.484 [0.3 - 1.93]; 0.618 (1.75)"
"43","Cr","Globe/Miami","Winter",79,0.011,7.24,0.243,0.585,1.06,0.249,3.63,"79: 0.585 (1.06); 0.243 [0.011 - 7.24]; 0.249 (3.63)"
"44","Cr","Globe/Miami","Monsoon",44,0.112,10.6,0.507,1.01,1.79,0.549,2.58,"44: 1.01 (1.79); 0.507 [0.112 - 10.6]; 0.549 (2.58)"
"45","Cr","Hayden/Winkelman","Winter",64,0.057,9.18,0.291,0.746,1.54,0.34,2.88,"64: 0.746 (1.54); 0.291 [0.057 - 9.18]; 0.34 (2.88)"
"46","Cr","Hayden/Winkelman","Monsoon",24,0.071,171,0.43,7.81,34.8,0.516,4.79,"24: 7.81 (34.8); 0.43 [0.071 - 171]; 0.516 (4.79)"
"47","Cr","Tucson","Winter",220,0.011,13.6,0.283,0.6,1.41,0.305,2.75,"220: 0.6 (1.41); 0.283 [0.011 - 13.6]; 0.305 (2.75)"
"48","Cr","Tucson","Monsoon",87,0.0789,52.4,0.545,2.42,7.58,0.701,3.17,"87: 2.42 (7.58); 0.545 [0.0789 - 52.4]; 0.701 (3.17)"
"49","Cu","Dewey-Humboldt","Winter",34,0.238,108,4.43,13.7,20.4,5.65,4.28,"34: 13.7 (20.4); 4.43 [0.238 - 108]; 5.65 (4.28)"
"50","Cu","Dewey-Humboldt","Monsoon",19,1.72,133,9.86,17.3,29.4,8.64,3.14,"19: 17.3 (29.4); 9.86 [1.72 - 133]; 8.64 (3.14)"
"51","Cu","Globe/Miami","Winter",79,0.921,1640,17.4,79.2,222,23.3,3.77,"79: 79.2 (222); 17.4 [0.921 - 1640]; 23.3 (3.77)"
"52","Cu","Globe/Miami","Monsoon",44,1.6,2740,38.6,133,409,47.5,3.49,"44: 133 (409); 38.6 [1.6 - 2740]; 47.5 (3.49)"
"53","Cu","Hayden/Winkelman","Winter",64,0.469,3160,44,122,400,41.2,4.28,"64: 122 (400); 44 [0.469 - 3160]; 41.2 (4.28)"
"54","Cu","Hayden/Winkelman","Monsoon",24,5.25,824,129,231,224,128,3.54,"24: 231 (224); 129 [5.25 - 824]; 128 (3.54)"
"55","Cu","Tucson","Winter",220,0.224,906,15.9,40.6,90.8,17.7,3.47,"220: 40.6 (90.8); 15.9 [0.224 - 906]; 17.7 (3.47)"
"56","Cu","Tucson","Monsoon",87,1.09,261,19.6,31.5,36.2,21.5,2.36,"87: 31.5 (36.2); 19.6 [1.09 - 261]; 21.5 (2.36)"
"57","Mn","Dewey-Humboldt","Winter",34,0.13,17.4,2.36,4.6,5.01,2.28,3.85,"34: 4.6 (5.01); 2.36 [0.13 - 17.4]; 2.28 (3.85)"
"58","Mn","Dewey-Humboldt","Monsoon",19,0.703,313,9.82,48.7,82.9,13,5.63,"19: 48.7 (82.9); 9.82 [0.703 - 313]; 13 (5.63)"
"59","Mn","Globe/Miami","Winter",79,0.149,612,4.5,31.4,86.3,6.26,5.26,"79: 31.4 (86.3); 4.5 [0.149 - 612]; 6.26 (5.26)"
"60","Mn","Globe/Miami","Monsoon",44,0.231,450,35.8,82,104,37.9,4.35,"44: 82 (104); 35.8 [0.231 - 450]; 37.9 (4.35)"
"61","Mn","Hayden/Winkelman","Winter",64,0.168,35.1,5.19,9,8.77,4.99,3.63,"64: 9 (8.77); 5.19 [0.168 - 35.1]; 4.99 (3.63)"
"62","Mn","Hayden/Winkelman","Monsoon",24,1.66,248,18.6,37.2,53.3,19.7,3.1,"24: 37.2 (53.3); 18.6 [1.66 - 248]; 19.7 (3.1)"
"63","Mn","Tucson","Winter",220,0.0668,378,2.59,9.08,29.6,2.89,3.84,"220: 9.08 (29.6); 2.59 [0.0668 - 378]; 2.89 (3.84)"
"64","Mn","Tucson","Monsoon",87,0.345,471,12.7,41.3,66.9,13,5.46,"87: 41.3 (66.9); 12.7 [0.345 - 471]; 13 (5.46)"
"65","Ni","Dewey-Humboldt","Winter",34,0.0571,59.7,0.471,2.43,10.1,0.577,3.15,"34: 2.43 (10.1); 0.471 [0.0571 - 59.7]; 0.577 (3.15)"
"66","Ni","Dewey-Humboldt","Monsoon",19,0.299,10.7,1.63,2.59,2.57,1.71,2.63,"19: 2.59 (2.57); 1.63 [0.299 - 10.7]; 1.71 (2.63)"
"67","Ni","Globe/Miami","Winter",79,0.0841,466,0.574,11,57.6,0.834,4.98,"79: 11 (57.6); 0.574 [0.0841 - 466]; 0.834 (4.98)"
"68","Ni","Globe/Miami","Monsoon",44,0.185,68.8,1.62,4.35,10.6,1.96,2.86,"44: 4.35 (10.6); 1.62 [0.185 - 68.8]; 1.96 (2.86)"
"69","Ni","Hayden/Winkelman","Winter",64,0.083,1.92,0.451,0.519,0.344,0.434,1.84,"64: 0.519 (0.344); 0.451 [0.083 - 1.92]; 0.434 (1.84)"
"70","Ni","Hayden/Winkelman","Monsoon",24,0.336,4.46,0.997,1.46,1.15,1.1,2.14,"24: 1.46 (1.15); 0.997 [0.336 - 4.46]; 1.1 (2.14)"
"71","Ni","Tucson","Winter",220,0.0611,10.2,0.601,1.02,1.34,0.676,2.28,"220: 1.02 (1.34); 0.601 [0.0611 - 10.2]; 0.676 (2.28)"
"72","Ni","Tucson","Monsoon",87,0.175,17.4,1.22,2.19,2.82,1.43,2.32,"87: 2.19 (2.82); 1.22 [0.175 - 17.4]; 1.43 (2.32)"
"73","Pb","Dewey-Humboldt","Winter",34,0.0263,3.74,0.189,0.773,0.982,0.326,3.98,"34: 0.773 (0.982); 0.189 [0.0263 - 3.74]; 0.326 (3.98)"
"74","Pb","Dewey-Humboldt","Monsoon",19,0.0142,3.18,0.292,0.608,0.771,0.312,3.57,"19: 0.608 (0.771); 0.292 [0.0142 - 3.18]; 0.312 (3.57)"
"75","Pb","Globe/Miami","Winter",79,0.078,5.1,0.497,0.97,1.14,0.55,2.96,"79: 0.97 (1.14); 0.497 [0.078 - 5.1]; 0.55 (2.96)"
"76","Pb","Globe/Miami","Monsoon",44,0.0355,27.2,0.817,3.21,5.62,0.919,5.11,"44: 3.21 (5.62); 0.817 [0.0355 - 27.2]; 0.919 (5.11)"
"77","Pb","Hayden/Winkelman","Winter",64,0.0319,19.3,0.654,1.55,2.96,0.69,3.5,"64: 1.55 (2.96); 0.654 [0.0319 - 19.3]; 0.69 (3.5)"
"78","Pb","Hayden/Winkelman","Monsoon",24,0.193,23.6,2.28,6.57,8.07,2.2,5.52,"24: 6.57 (8.07); 2.28 [0.193 - 23.6]; 2.2 (5.52)"
"79","Pb","Tucson","Winter",220,0.013,350,0.554,3.58,24,0.666,4.27,"220: 3.58 (24); 0.554 [0.013 - 350]; 0.666 (4.27)"
"80","Pb","Tucson","Monsoon",87,0.0484,264,0.949,5.91,29.3,0.986,4.6,"87: 5.91 (29.3); 0.949 [0.0484 - 264]; 0.986 (4.6)"
"81","Zn","Dewey-Humboldt","Winter",34,1.4,669,34.7,144,210,47.8,4.87,"34: 144 (210); 34.7 [1.4 - 669]; 47.8 (4.87)"
"82","Zn","Dewey-Humboldt","Monsoon",19,6.82,3640,45.2,312,831,60.1,5.19,"19: 312 (831); 45.2 [6.82 - 3640]; 60.1 (5.19)"
"83","Zn","Globe/Miami","Winter",79,3.94,2590,77.8,264,504,84.9,4.57,"79: 264 (504); 77.8 [3.94 - 2590]; 84.9 (4.57)"
"84","Zn","Globe/Miami","Monsoon",44,7.22,4170,206,432,823,149,4.84,"44: 432 (823); 206 [7.22 - 4170]; 149 (4.84)"
"85","Zn","Hayden/Winkelman","Winter",64,5.95,1280,52.5,170,281,62.1,4.08,"64: 170 (281); 52.5 [5.95 - 1280]; 62.1 (4.08)"
"86","Zn","Hayden/Winkelman","Monsoon",24,7.84,8450,68.5,519,1710,94.2,5,"24: 519 (1710); 68.5 [7.84 - 8450]; 94.2 (5)"
"87","Zn","Tucson","Winter",220,2.4,13300,102,400,1270,113,3.9,"220: 400 (1270); 102 [2.4 - 13300]; 113 (3.9)"
"88","Zn","Tucson","Monsoon",87,5.74,12700,119,767,2090,144,5.03,"87: 767 (2090); 119 [5.74 - 12700]; 144 (5.03)"
